transaction_id,account_id,transaction_date,transaction_type,transaction_amount,payment_mode
TXN100018,ACC1001,2025-05-21,Withdrawal,707,UPI
TXN100012,ACC1001,2025-05-23,Transfer,1061,UPI
TXN100022,ACC1001,2025-05-26,Withdrawal,858,Credit Card
TXN100002,ACC1001,2025-05-29,Transfer,884,Debit Card
TXN100023,ACC1001,2025-05-29,Payment,1439,Debit Card
TXN100011,ACC1001,2025-05-30,Payment,857,Debit Card
TXN100007,ACC1001,2025-06-16,Transfer,454,Debit Card
TXN100021,ACC1001,2025-06-19,Withdrawal,825,Net Banking
TXN100013,ACC1001,2025-07-11,Payment,202,UPI
TXN100001,ACC1001,2025-07-13,Withdrawal,489,Debit Card
TXN100024,ACC1001,2025-07-27,Withdrawal,1356,UPI
TXN100004,ACC1001,2025-08-04,Payment,850,Debit Card
TXN100020,ACC1001,2025-08-04,Transfer,1058,Debit Card
TXN100010,ACC1001,2025-08-19,Withdrawal,1407,Debit Card
TXN100019,ACC1001,2025-08-29,Deposit,1334,UPI
TXN100008,ACC1001,2025-09-04,Payment,1251,UPI
TXN100003,ACC1001,2025-09-11,Withdrawal,655,Debit Card
TXN100016,ACC1001,2025-09-14,Payment,449,UPI
TXN100009,ACC1001,2025-10-06,Withdrawal,907,UPI
TXN100006,ACC1001,2025-10-07,Withdrawal,480,Debit Card
TXN100014,ACC1001,2025-10-08,Deposit,1753,UPI
TXN100017,ACC1001,2025-10-13,Withdrawal,1216,Debit Card
TXN100015,ACC1001,2025-11-02,Payment,522,Debit Card
TXN100005,ACC1001,2025-11-07,Withdrawal,221,UPI
TXN100035,ACC1002,2025-05-22,Payment,690,UPI
TXN100029,ACC1002,2025-05-26,Withdrawal,198,Debit Card
TXN100036,ACC1002,2025-05-27,Payment,674,Credit Card
TXN100044,ACC1002,2025-05-31,Withdrawal,1017,UPI
TXN100060,ACC1002,2025-06-08,Payment,810,Debit Card
TXN100062,ACC1002,2025-06-11,Received,511,Debit Card
TXN100038,ACC1002,2025-06-20,Deposit,589,Credit Card
TXN100051,ACC1002,2025-06-28,Withdrawal,1088,UPI
TXN100045,ACC1002,2025-06-29,Received,1553,UPI
TXN100025,ACC1002,2025-07-01,Received,1592,Credit Card
TXN100033,ACC1002,2025-07-02,Payment,590,Debit Card
TXN100061,ACC1002,2025-07-04,Deposit,1819,Debit Card
TXN100031,ACC1002,2025-07-08,Transfer,909,UPI
TXN100027,ACC1002,2025-07-12,Payment,594,UPI
TXN100055,ACC1002,2025-07-14,Payment,1261,Debit Card
TXN100046,ACC1002,2025-07-16,Received,1950,Net Banking
TXN100042,ACC1002,2025-07-18,Payment,560,UPI
TXN100059,ACC1002,2025-07-19,Received,1871,Debit Card
TXN100040,ACC1002,2025-07-25,Withdrawal,1069,UPI
TXN100028,ACC1002,2025-08-01,Received,1548,UPI
TXN100057,ACC1002,2025-08-08,Received,1386,Debit Card
TXN100050,ACC1002,2025-08-10,Received,1415,Debit Card
TXN100032,ACC1002,2025-08-13,Withdrawal,582,Net Banking
TXN100052,ACC1002,2025-08-18,Transfer,717,Net Banking
TXN100054,ACC1002,2025-08-18,Payment,1312,Credit Card
TXN100039,ACC1002,2025-08-24,Withdrawal,175,UPI
TXN100037,ACC1002,2025-09-12,Withdrawal,1186,UPI
TXN100030,ACC1002,2025-09-18,Transfer,1002,Debit Card
TXN100034,ACC1002,2025-09-22,Withdrawal,1098,UPI
TXN100058,ACC1002,2025-10-02,Deposit,805,UPI
TXN100041,ACC1002,2025-10-05,Payment,1416,UPI
TXN100048,ACC1002,2025-10-09,Withdrawal,1110,Debit Card
TXN100043,ACC1002,2025-10-10,Transfer,384,Debit Card
TXN100049,ACC1002,2025-10-10,Received,1858,Debit Card
TXN100026,ACC1002,2025-10-18,Transfer,380,UPI
TXN100053,ACC1002,2025-10-21,Transfer,577,Debit Card
TXN100056,ACC1002,2025-10-21,Payment,115,Debit Card
TXN100047,ACC1002,2025-11-11,Withdrawal,791,UPI
TXN100071,ACC1003,2025-05-30,Transfer,1408,Debit Card
TXN100082,ACC1003,2025-06-15,Payment,946,UPI
TXN100083,ACC1003,2025-06-16,Payment,14054,Debit Card
TXN100076,ACC1003,2025-06-22,Payment,263,UPI
TXN100069,ACC1003,2025-06-23,Deposit,1287,Debit Card
TXN100064,ACC1003,2025-06-26,Deposit,1277,UPI
TXN100079,ACC1003,2025-06-30,Payment,1265,UPI
TXN100065,ACC1003,2025-07-01,Payment,1484,UPI
TXN100080,ACC1003,2025-07-08,Deposit,1180,Net Banking
TXN100081,ACC1003,2025-08-10,Payment,208,Debit Card
TXN100067,ACC1003,2025-08-12,Transfer,1283,Net Banking
